team,season,points,goals_for,goals_against,possession_pct,wins,draws,losses,formation_changes
Man City,2022,80,76,27,60.8,26,2,10,5
Arsenal,2022,70,80,26,57.1,23,1,14,6
Liverpool,2022,83,86,32,58.4,27,2,9,4
Chelsea,2022,73,79,37,58.2,24,1,13,5
Tottenham,2022,72,47,35,54.0,24,0,14,8
Man United,2022,66,60,39,55.1,22,0,16,4
Brighton,2022,56,34,29,45.6,18,2,18,6
Aston Villa,2022,59,49,39,51.4,19,2,17,5
West Ham,2022,51,42,48,51.3,17,0,21,9
Newcastle,2022,54,49,51,45.5,18,0,20,6
Crystal Palace,2022,48,48,46,57.3,16,0,22,6
Fulham,2022,43,50,57,50.0,14,1,23,9
Brentford,2022,63,44,38,45.9,21,0,17,9
Wolves,2022,40,45,49,46.7,13,1,24,9
Everton,2022,42,48,66,40.6,14,0,24,7
Nottingham Forest,2022,31,38,58,42.7,10,1,27,10
Burnley,2022,32,29,49,38.7,10,2,26,7
Sheffield Utd,2022,41,40,61,44.0,13,2,23,9
Luton,2022,46,38,63,39.0,15,1,22,10
Bournemouth,2022,55,53,47,55.8,18,1,19,7
Man City,2023,94,78,24,53.5,31,1,6,5
Arsenal,2023,93,83,32,48.5,31,0,7,7
Liverpool,2023,86,74,23,58.0,28,2,8,9
Chelsea,2023,73,75,37,56.2,24,1,13,5
Tottenham,2023,68,49,39,47.2,22,2,14,8
Man United,2023,68,73,39,57.5,22,2,14,4
Brighton,2023,51,47,60,41.3,17,0,21,9
Aston Villa,2023,56,55,52,48.2,18,2,18,6
West Ham,2023,42,46,46,56.1,14,0,24,6
Newcastle,2023,54,34,45,49.0,18,0,20,9
Crystal Palace,2023,63,44,40,49.8,21,0,17,9
Fulham,2023,55,40,55,48.4,18,1,19,9
Brentford,2023,62,49,50,56.6,20,2,16,8
Wolves,2023,49,45,58,48.5,16,1,21,9
Everton,2023,47,28,49,44.2,15,2,21,9
Nottingham Forest,2023,33,38,66,39.0,11,0,27,10
Burnley,2023,36,21,65,42.8,12,0,26,7
Sheffield Utd,2023,42,35,57,44.6,14,0,24,11
Luton,2023,32,34,62,52.1,10,2,26,5
Bournemouth,2023,57,42,47,55.6,19,0,19,7
Man City,2024,99,74,30,56.0,33,0,5,4
Arsenal,2024,82,76,29,49.6,27,1,10,10
Liverpool,2024,80,90,20,59.2,26,2,10,12
Chelsea,2024,75,67,24,59.9,25,0,13,7
Tottenham,2024,78,56,26,50.3,26,0,12,9
Man United,2024,71,44,37,57.6,23,2,13,11
Brighton,2024,56,47,39,44.6,18,2,18,8
Aston Villa,2024,56,49,44,43.4,18,2,18,6
West Ham,2024,42,49,31,46.7,14,0,24,8
Newcastle,2024,64,45,55,46.4,21,1,16,6
Crystal Palace,2024,46,55,54,49.9,15,1,22,14
Fulham,2024,51,49,50,47.1,17,0,21,12
Brentford,2024,64,35,45,49.7,21,1,16,9
Wolves,2024,41,29,34,47.7,13,2,23,7
Everton,2024,40,26,53,35,13,1,24,9
Nottingham Forest,2024,40,38,67,42.2,13,1,24,11
Burnley,2024,36,27,58,40.7,12,0,26,4
Sheffield Utd,2024,39,33,59,40.1,13,0,25,9
Luton,2024,51,32,58,40.6,17,0,21,8
Bournemouth,2024,41,44,48,55.4,13,2,23,9
