team,season,points,tries_for,tries_against,possession_pct,wins,draws,losses,lineout_success_pct,scrums_won_pct
Bath,2022,74,51,31,50.6,18,1,3,88.9,90.8
Bristol Bears,2022,45,50,36,49.9,11,2,9,81.2,90.4
Exeter Chiefs,2022,76,60,31,52.0,19,0,3,86.7,89.2
Gloucester,2022,52,21,45,41.3,13,1,8,83.8,86.5
Harlequins,2022,56,36,31,45.7,14,2,6,84.0,89.2
Leicester Tigers,2022,77,61,30,52.3,19,1,2,89.4,88.0
Newcastle Falcons,2022,33,15,53,48.3,8,0,14,72.1,85
Northampton Saints,2022,59,41,31,47.6,14,0,8,87.7,87.7
Sale Sharks,2022,79,63,33,60,19,1,2,87.9,91.0
Saracens,2022,62,62,14,57.4,15,0,7,92.8,92.8
Wasps,2022,41,39,53,47.1,10,2,10,74.4,85.2
Worcester Warriors,2022,27,18,40,47.1,6,2,14,77.7,85
Bath,2023,73,48,26,56.5,18,1,3,85.4,91.1
Bristol Bears,2023,51,40,32,47.5,12,2,8,84.0,86.8
Exeter Chiefs,2023,65,60,32,54.0,16,2,4,84.4,91.1
Gloucester,2023,39,36,39,43.8,9,2,11,81.1,85
Harlequins,2023,56,43,27,49.6,14,0,8,81.2,91.2
Leicester Tigers,2023,66,51,28,54.6,16,0,6,88.1,92.3
Newcastle Falcons,2023,15,24,44,41.8,3,0,19,71.7,85.3
Northampton Saints,2023,54,41,35,44.9,13,0,9,86.5,89.3
Sale Sharks,2023,71,47,21,54.8,17,0,5,89.3,89.5
Saracens,2023,70,47,34,53.7,17,2,3,94.0,88.7
Wasps,2023,47,22,32,49.9,11,1,10,77.3,86.4
Worcester Warriors,2023,18,24,54,42.0,4,0,18,74.6,85
Bath,2024,67,56,27,56.3,16,0,6,86.4,92.3
Bristol Bears,2024,58,45,36,51.7,14,1,7,81.7,88.9
Exeter Chiefs,2024,64,56,18,57.1,16,2,4,84.0,88.4
Gloucester,2024,41,32,37,51.0,10,1,11,83.5,85
Harlequins,2024,45,40,38,43.9,11,1,10,81.6,88.1
Leicester Tigers,2024,73,55,25,51.2,18,0,4,89.7,91.9
Newcastle Falcons,2024,35,21,57,41.8,8,1,13,73.3,85
Northampton Saints,2024,59,46,39,50.9,14,1,7,84.6,89.7
Sale Sharks,2024,65,67,19,56.7,16,0,6,83.1,90.6
Saracens,2024,73,54,22,49.8,18,0,4,85.1,87.3
Wasps,2024,42,32,43,48.3,10,0,12,77.1,85
Worcester Warriors,2024,23,22,47,47.0,5,0,17,78.7,85
