stage,pi,silhouette,rank_ari,rank_first_share
E0,0.0,0.5833333333333333,1.0,0.8
E1,0.0,0.5833333333333333,1.0,0.8
E1,0.1,0.5833333333333333,1.0,0.8
E1,0.2,0.5833333333333333,1.0,0.8
E1,0.3,0.5833333333333333,1.0,0.8
E1,0.4,0.5833333333333333,1.0,0.8
E1,0.5,0.5833333333333333,1.0,0.8
E1,0.6,0.5833333333333333,1.0,0.8
E1,0.7,0.5833333333333333,1.0,0.8
E1,0.8,0.5833333333333333,1.0,0.8
E1,0.9,0.5833333333333333,1.0,0.8
E1,1.0,0.5833333333333333,1.0,0.8
E2,0.0,0.5833333333333333,1.0,0.8
E2,0.1,0.5885416666666666,1.0,0.8
E2,0.2,0.59375,1.0,0.8
E2,0.3,0.5989583333333333,1.0,0.8
E2,0.4,0.5989583333333333,1.0,0.8
E2,0.5,0.5989583333333333,1.0,0.8
E2,0.6,0.5989583333333333,1.0,0.8
E2,0.7,0.59375,1.0,0.8
E2,0.8,0.5833333333333333,1.0,0.8
E2,0.9,0.5885416666666666,1.0,0.8
E2,1.0,0.59375,1.0,0.8
E3,0.0,0.5833333333333333,1.0,0.8
E3,0.1,0.6041666666666666,1.0,0.8
E3,0.2,0.6041666666666666,1.0,0.8
E3,0.3,0.5625,1.0,0.8
E3,0.4,0.5625,1.0,0.8
E3,0.5,0.5625,1.0,0.8
E3,0.6,0.5572916666666666,1.0,0.8
E3,0.7,0.5677083333333333,1.0,0.8
E3,0.8,0.6197916666666666,1.0,0.8
E3,0.9,0.5520833333333333,1.0,0.8
E3,1.0,0.5416666666666666,1.0,0.8
E4,0.0,0.5833333333333333,1.0,0.8
E4,0.1,0.6229166666666668,0.3781094527363184,0.775
E4,0.2,0.6124999999999999,0.27860696517412936,0.775
E4,0.3,0.6302083333333333,0.2857142857142857,0.75
E4,0.4,0.6302083333333333,0.2857142857142857,0.75
E4,0.5,0.6302083333333333,0.2857142857142857,0.75
E4,0.6,0.6227678571428572,0.08888888888888889,0.7083333333333334
E4,0.7,0.6071428571428572,0.0,0.7083333333333334
E4,0.8,0.7083333333333334,-0.009389671361502348,0.7416666666666667
E4,0.9,0.628125,-0.009389671361502348,0.7416666666666667
E4,1.0,0.6135416666666667,0.03755868544600939,0.7416666666666667
E5,0.0,0.5833333333333333,1.0,0.8
E5,0.1,0.5833333333333333,1.0,0.8
E5,0.2,0.5833333333333333,1.0,0.8
E5,0.3,0.5833333333333333,1.0,0.8
E5,0.4,0.6158854166666666,0.8205128205128205,0.7916666666666666
E5,0.5,0.60546875,0.8205128205128205,0.7916666666666666
E5,0.6,0.59375,0.6875,0.8
E5,0.7,0.59375,0.6875,0.8
E5,0.8,0.58203125,0.6153846153846154,0.7916666666666666
E5,0.9,0.58203125,0.6153846153846154,0.7916666666666666
E5,1.0,0.63671875,0.5128205128205128,0.7916666666666666
