stage,linkage,seed,min_rank_ari,worst_pi,pass_gate
E1,single,0,1.0,0.0,True
E1,single,1,1.0,0.0,True
E1,single,2,1.0,0.0,True
E1,single,3,1.0,0.0,True
E1,single,4,1.0,0.0,True
E1,complete,0,1.0,0.0,True
E1,complete,1,1.0,0.0,True
E1,complete,2,1.0,0.0,True
E1,complete,3,1.0,0.0,True
E1,complete,4,1.0,0.0,True
E1,average,0,1.0,0.0,True
E1,average,1,1.0,0.0,True
E1,average,2,1.0,0.0,True
E1,average,3,1.0,0.0,True
E1,average,4,1.0,0.0,True
E2,single,0,1.0,0.0,True
E2,single,1,1.0,0.0,True
E2,single,2,1.0,0.0,True
E2,single,3,1.0,0.0,True
E2,single,4,1.0,0.0,True
E2,complete,0,1.0,0.0,True
E2,complete,1,1.0,0.0,True
E2,complete,2,1.0,0.0,True
E2,complete,3,1.0,0.0,True
E2,complete,4,1.0,0.0,True
E2,average,0,1.0,0.0,True
E2,average,1,1.0,0.0,True
E2,average,2,1.0,0.0,True
E2,average,3,1.0,0.0,True
E2,average,4,1.0,0.0,True
E3,single,0,1.0,0.0,True
E3,single,1,1.0,0.0,True
E3,single,2,1.0,0.0,True
E3,single,3,1.0,0.0,True
E3,single,4,1.0,0.0,True
E3,complete,0,1.0,0.0,True
E3,complete,1,1.0,0.0,True
E3,complete,2,1.0,0.0,True
E3,complete,3,1.0,0.0,True
E3,complete,4,1.0,0.0,True
E3,average,0,1.0,0.0,True
E3,average,1,1.0,0.0,True
E3,average,2,1.0,0.0,True
E3,average,3,1.0,0.0,True
E3,average,4,1.0,0.0,True
