stage,pi,k,rank_ari,nested_ari,silhouette,pass_gate
E0,0.0,2,,0.0,0.0,False
E0,0.0,4,,1.0,0.5833333333333333,True
E0,0.0,8,,1.0,0.5,True
E4,0.05,2,,0.0,0.0,False
E4,0.05,4,,0.3781094527363184,0.6229166666666668,False
E4,0.05,8,,0.4866920152091255,0.5,False
E4,0.1,2,,0.0,0.0,False
E4,0.1,4,,0.3781094527363184,0.6229166666666668,False
E4,0.1,8,,0.4866920152091255,0.5,False
E4,0.15,2,,0.0,0.0,False
E4,0.15,4,,0.3781094527363184,0.6229166666666668,False
E4,0.15,8,,0.4866920152091255,0.5,False
E4,0.2,2,,0.0,0.0,False
E4,0.2,4,,0.27860696517412936,0.6124999999999999,False
E4,0.2,8,,0.4,0.5625,False
E4,0.25,2,,0.0,0.0,False
E4,0.25,4,,0.27860696517412936,0.6124999999999999,False
E4,0.25,8,,0.4,0.5625,False
E4,0.3,2,,0.0,0.0,False
E4,0.3,4,,0.2857142857142857,0.6302083333333333,False
E4,0.3,8,,0.2391304347826087,0.5625,False
E4,0.35,2,,0.0,0.0,False
E4,0.35,4,,0.2857142857142857,0.6302083333333333,False
E4,0.35,8,,0.2391304347826087,0.5625,False
E4,0.4,2,,0.0,0.0,False
E4,0.4,4,,0.2857142857142857,0.6302083333333333,False
E4,0.4,8,,0.2391304347826087,0.5625,False
E4,0.45,2,,0.0,0.0,False
E4,0.45,4,,0.2857142857142857,0.6302083333333333,False
E4,0.45,8,,0.2391304347826087,0.5625,False
E4,0.5,2,,0.0,0.0,False
E4,0.5,4,,0.2857142857142857,0.6302083333333333,False
E4,0.5,8,,0.2391304347826087,0.5625,False
